#    L    TT             EE             BB             TE          
    80   0.206394E+04   0.473580E+00   0.641623E-04  -0.106067E+02
    81   0.208973E+04   0.488611E+00   0.643822E-04  -0.111610E+02
    82   0.211580E+04   0.503759E+00   0.645696E-04  -0.117244E+02
    83   0.214206E+04   0.518997E+00   0.647246E-04  -0.122969E+02
    84   0.216861E+04   0.534318E+00   0.648476E-04  -0.128767E+02
    85   0.219528E+04   0.549695E+00   0.649387E-04  -0.134653E+02
    86   0.222218E+04   0.565138E+00   0.649982E-04  -0.140615E+02
    87   0.224951E+04   0.580616E+00   0.650264E-04  -0.146647E+02
    88   0.227684E+04   0.596146E+00   0.650234E-04  -0.152745E+02
    89   0.230454E+04   0.611713E+00   0.649893E-04  -0.158924E+02
    90   0.233247E+04   0.627280E+00   0.649244E-04  -0.165153E+02
    91   0.236055E+04   0.642839E+00   0.648290E-04  -0.171437E+02
    92   0.238892E+04   0.658377E+00   0.647035E-04  -0.177769E+02
    93   0.241760E+04   0.673885E+00   0.645488E-04  -0.184149E+02
    94   0.244635E+04   0.689325E+00   0.643653E-04  -0.190563E+02
    95   0.247541E+04   0.704698E+00   0.641539E-04  -0.197018E+02
    96   0.250446E+04   0.719987E+00   0.639151E-04  -0.203507E+02
    97   0.253397E+04   0.735177E+00   0.636495E-04  -0.210022E+02
    98   0.256369E+04   0.750261E+00   0.633579E-04  -0.216541E+02
    99   0.259350E+04   0.765201E+00   0.630409E-04  -0.223095E+02
   100   0.262360E+04   0.779996E+00   0.626991E-04  -0.229639E+02
   101   0.265385E+04   0.794706E+00   0.623332E-04  -0.236203E+02
   102   0.268463E+04   0.809181E+00   0.619439E-04  -0.242764E+02
   103   0.271532E+04   0.823495E+00   0.615318E-04  -0.249330E+02
   104   0.274625E+04   0.837648E+00   0.610975E-04  -0.255872E+02
   105   0.277732E+04   0.851565E+00   0.606417E-04  -0.262405E+02
   106   0.280861E+04   0.865320E+00   0.601651E-04  -0.268921E+02
   107   0.283983E+04   0.878763E+00   0.596683E-04  -0.275406E+02
   108   0.287143E+04   0.891970E+00   0.591520E-04  -0.281867E+02
   109   0.290317E+04   0.904864E+00   0.586168E-04  -0.288289E+02
